title,description,brand,category,specs,price
Notebook Dell XPS 13,"Ultrafino, processador Intel i7, SSD 512GB",Dell,Notebook,"Intel i7, 16GB RAM, 512GB SSD",9999.9
Notebook Lenovo ThinkPad X1,Modelo empresarial com alta performance,Lenovo,Notebook,"Intel i7, 32GB RAM, 1TB SSD",8499.0
Notebook HP Spectre x360,"Tela sensível ao toque, design premium",HP,Notebook,"Intel i5, 16GB RAM, 256GB SSD",7599.99
Fone de Ouvido Sony WH-1000XM4,Cancelamento de ruído ativo e som imersivo,Sony,Fone de Ouvido,"Bluetooth 5.0, 30h de bateria",1899.9
Fone de Ouvido Bose QuietComfort 45,Áudio premium com cancelamento de ruído,Bose,Fone de Ouvido,"ANC, Bluetooth 5.1, 25h de bateria",1799.0
Smartphone Samsung Galaxy S23,Celular topo de linha com câmera de 200MP,Samsung,Smartphone,"Snapdragon 8 Gen 2, 12GB RAM",4999.99
Smartphone Apple iPhone 15 Pro,Smartphone premium com chip A17 Bionic,Apple,Smartphone,"A17 Bionic, 8GB RAM, 512GB SSD",8999.99
Monitor LG UltraGear 27GL850,Monitor gamer com taxa de atualização 144Hz,LG,Monitor,"QHD, 1ms, G-Sync",2499.9
Teclado Mecânico Logitech G915,Teclado wireless com switches mecânicos,Logitech,Teclado,"Switches GL Tactile, RGB",1299.0
Mouse Razer DeathAdder V3,Mouse ergonômico para jogos FPS,Razer,Mouse,"Sensor Focus+, 20.000 DPI",499.9
